Name,Rarity,Odds,Id
Unraveler of Destinies,legendary,1,4-269
Xenan Cupbearer,common,1,2-210
Xenan Temple,legendary,1,5-224
Alchemical Blast,common,1,1-415
Alchemist's Concoction,uncommon,1,4-272
Astromancer's Compass,common,1,5-251
Bannerman,common,1,5-252
"Brel, Solist Apostate",legendary,1,5-240
Chairman's Contract,rare,1,4-271
Common Cause,uncommon,1,3-279
"Curiox, Insatiable Seeker",legendary,1,3-278
Disrupt,uncommon,1,4-276
"Grinva, Breaker of Will",legendary,1,5-250
Makeshift Barrier,uncommon,1,5-254
Mask Maker,rare,3,4-277
Momentum Builder,rare,3,4-278
"Quinn, Lone Wanderer",legendary,1,5-230
Recon Tower,rare,1,4-275
Seal of Devotion,rare,3,6-236
Seek Answers,uncommon,3,6-238
Seek Power,common,3,1-408
Spiked Helm,uncommon,3,1-406
Spirit of Resistance,legendary,1,2-253
Talir's Unwinding,legendary,1,5-235
Token of Ambition,common,3,5-236
Token of Honor,common,3,5-226
Token of Instinct,common,3,5-241
Token of Knowledge,common,3,5-231
Token of Vision,common,3,5-246
Worn Shield,common,3,1-407
